Date : 2025-03-29 23:51:54
Directory : c:\Users\HP\Documents\Ecommer\EcommercePanel
Total : 1589 files,  198271 codes, 4848 comments, 15965 blanks, all 219084 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\apps\ecommerce\catalog\products.js                            | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\apps\ecommerce\catalog\save-category.js                       | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\apps\ecommerce\catalog\save-product.js                        | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\apps\file-manager\list.js                                     | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\apps\file-manager\settings.js                                 | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\apps\inbox\compose.js                                         | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\apps\inbox\listing.js                                         | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\apps\inbox\reply.js                                           | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\apps\invoices\create.js                                       | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\apps\projects\list\list.js                                    | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\apps\projects\project\project.js                              | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\apps\projects\settings\settings.js                            | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\apps\projects\targets\targets.js                              | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\apps\projects\users\users.js                                  | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\apps\subscriptions\add\advanced.js                            | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\apps\subscriptions\add\customer-select.js                     | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\apps\subscriptions\add\products.js                            | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\apps\subscriptions\list\export.js                             | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\apps\subscriptions\list\list.js                               | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\apps\support-center\tickets\create.js                         | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\apps\user-management\permissions\add-permission.js            | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\apps\user-management\permissions\list.js                      | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\apps\user-management\permissions\update-permission.js         | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\apps\user-management\roles\list\add.js                        | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\apps\user-management\roles\list\update-role.js                | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\apps\user-management\roles\view\update-role.js                | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\apps\user-management\roles\view\view.js                       | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\apps\user-management\users\list\add.js                        | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\apps\user-management\users\list\export-users.js               | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\apps\user-management\users\list\table.js                      | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\apps\user-management\users\view\add-auth-app.js               | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\apps\user-management\users\view\add-one-time-password.js      | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\apps\user-management\users\view\add-schedule.js               | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\apps\user-management\users\view\add-task.js                   | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\apps\user-management\users\view\update-details.js             | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\apps\user-management\users\view\update-email.js               | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\apps\user-management\users\view\update-password.js            | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\apps\user-management\users\view\update-role.js                | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\apps\user-management\users\view\view.js                       | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\authentication\password-reset\new-password.js                 | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\authentication\password-reset\password-reset.js               | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\authentication\sign-in\general.js                             | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\authentication\sign-in\two-steps.js                           | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\authentication\sign-up\coming-soon.js                         | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\authentication\sign-up\free-trial.js                          | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\authentication\sign-up\general.js                             | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\documentation\base\indicator.js                               | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\documentation\base\rotate.js                                  | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\documentation\base\toasts.js                                  | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\documentation\charts\amcharts\charts.js                       | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\documentation\charts\amcharts\maps.js                         | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\documentation\charts\amcharts\stock-charts.js                 | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\documentation\charts\apexcharts.js                            | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\documentation\charts\chartjs.js                               | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\documentation\charts\flotcharts\axis.js                       | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\documentation\charts\flotcharts\bar.js                        | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\documentation\charts\flotcharts\basic.js                      | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\documentation\charts\flotcharts\dynamic.js                    | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\documentation\charts\flotcharts\pie.js                        | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\documentation\charts\flotcharts\stack.js                      | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\documentation\charts\flotcharts\tracking.js                   | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\documentation\charts\google-charts\column.js                  | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\documentation\charts\google-charts\line.js                    | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\documentation\charts\google-charts\pie.js                     | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\documentation\documentation.js                                | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\documentation\editors\ckeditor\balloon-block.js               | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\documentation\editors\ckeditor\balloon.js                     | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\documentation\editors\ckeditor\classic.js                     | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\documentation\editors\ckeditor\document.js                    | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\documentation\editors\ckeditor\inline.js                      | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\documentation\editors\quill\autosave.js                       | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\documentation\editors\quill\basic.js                          | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\documentation\editors\tinymce\basic.js                        | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\documentation\editors\tinymce\hidden.js                       | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\documentation\editors\tinymce\plugins.js                      | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\documentation\forms\bootstrap-maxlength.js                    | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\documentation\forms\clipboard.js                              | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\documentation\forms\daterangepicker.js                        | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\documentation\forms\dialer.js                                 | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\documentation\forms\dropzonejs.js                             | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\documentation\forms\flatpickr.js                              | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\documentation\forms\formrepeater\advanced.js                  | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\documentation\forms\formrepeater\basic.js                     | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\documentation\forms\formrepeater\nested.js                    | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\documentation\forms\formvalidation\advanced.js                | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\documentation\forms\formvalidation\basic.js                   | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\documentation\forms\image-input.js                            | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\documentation\forms\inputmask.js                              | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\documentation\forms\multiselectsplitter.js                    | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\documentation\forms\nouislider.js                             | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\documentation\forms\password-meter.js                         | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\documentation\forms\recaptcha.js                              | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\documentation\forms\select2.js                                | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\documentation\forms\tagify.js                                 | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\documentation\general\blockui.js                              | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\documentation\general\cropper.js                              | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\documentation\general\datatables\advanced.js                  | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\documentation\general\datatables\api.js                       | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\documentation\general\datatables\basic.js                     | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\documentation\general\datatables\server-side.js               | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\documentation\general\datatables\subtable.js                  | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\documentation\general\draggable\cards.js                      | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\documentation\general\draggable\multiple-containers.js        | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\documentation\general\draggable\restricted.js                 | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\documentation\general\draggable\swappable.js                  | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\documentation\general\drawer.js                               | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\documentation\general\fullcalendar\background-events.js       | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\documentation\general\fullcalendar\basic.js                   | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\documentation\general\fullcalendar\drag-n-drop.js             | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\documentation\general\fullcalendar\locales.js                 | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\documentation\general\fullcalendar\selectable-dates.js        | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\documentation\general\fullcalendar\timezone.js                | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\documentation\general\jkanban\basic.js                        | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\documentation\general\jkanban\color.js                        | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\documentation\general\jkanban\fixed-height.js                 | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\documentation\general\jkanban\restricted.js                   | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\documentation\general\jkanban\rich.js                         | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\documentation\general\jstree\ajax.js                          | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\documentation\general\jstree\basic.js                         | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\documentation\general\jstree\checkable.js                     | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\documentation\general\jstree\contextual.js                    | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\documentation\general\jstree\customicons.js                   | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\documentation\general\jstree\dragdrop.js                      | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\documentation\general\scroll.js                               | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\documentation\general\search\basic.js                         | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\documentation\general\search\menu.js                          | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\documentation\general\search\responsive.js                    | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\documentation\general\stepper.js                              | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\documentation\general\sweetalert.js                           | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\documentation\general\toastr.js                               | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\documentation\general\typed.js                                | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\documentation\general\vis-timeline\basic.js                   | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\documentation\general\vis-timeline\group.js                   | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\documentation\general\vis-timeline\interaction.js             | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\documentation\general\vis-timeline\style.js                   | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\documentation\general\vis-timeline\template.js                | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\documentation\search.js                                       | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\intro.js                                                      | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\landing.js                                                    | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\layout-builder\layout-builder.js                              | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\modals\create-account.js                                      | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\modals\create-api-key.js                                      | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\modals\create-app.js                                          | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\modals\create-campaign.js                                     | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\modals\create-project.js                                      | JavaScript         |          0 |          0 |          1 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\modals\create-project\budget.js                               | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\modals\create-project\complete.js                             | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\modals\create-project\files.js                                | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\modals\create-project\main.js                                 | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\modals\create-project\settings.js                             | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\modals\create-project\targets.js                              | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\modals\create-project\team.js                                 | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\modals\create-project\type.js                                 | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\modals\new-address.js                                         | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\modals\new-card.js                                            | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\modals\new-target.js                                          | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\modals\offer-a-deal\complete.js                               | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\modals\offer-a-deal\details.js                                | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\modals\offer-a-deal\finance.js                                | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\modals\offer-a-deal\main.js                                   | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\modals\offer-a-deal\type.js                                   | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\modals\select-location.js                                     | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\modals\share-earn.js                                          | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\modals\two-factor-authentication.js                           | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\modals\upgrade-plan.js                                        | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\modals\users-search.js                                        | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\pages\careers\apply.js                                        | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\pages\company\contact.js                                      | JavaScript         |        156 |         33 |         26 |        215 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\pages\company\pricing.js                                      | JavaScript         |         43 |         10 |         14 |         67 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\pages\general\contact.js                                      | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\pages\general\pricing.js                                      | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\pages\pricing\general.js                                      | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\pages\profile\connections.js                                  | JavaScript         |         30 |         16 |         12 |         58 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\pages\profile\followers.js                                    | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\pages\projects\list\list.js                                   | JavaScript         |          1 |          0 |          0 |          1 |
